Placed In,Class 10 Percentage,Class 12 Percentage,Degree Percentage,Degree CGPA,Live Backlogs,Education Gap,Year down,Internship Details
0,87,73,79,9,0,0,0,1
0,83,72,65,9,0,0,0,1
1,78,73,70,8,0,0,0,1
0,80,74,78,9,0,0,0,1
1,86,81,72,8,0,0,0,0
1,88,70,82,9,0,0,0,1
1,92,89,82,9,0,0,0,1
1,78,73,78,9,0,0,0,1
0,92,74,78,9,0,0,0,1
0,86,57,78,9,0,0,0,1
1,76,64,73,8,0,0,0,1
1,83,67,73,8,0,0,1,1
1,80,65,77,8,0,0,0,1
0,77,73,78,9,0,0,0,1
0,84,63,75,8,0,0,1,0
1,90,63,78,8,0,0,0,1
1,82,57,53,7,0,2,2,1
1,93,76,85,9,0,0,0,1
0,74,77,84,9,0,0,0,1
0,93,69,67,8,0,0,0,1
1,68,61,80,9,0,0,1,1
0,65,85,84,10,0,0,0,1
0,86,67,74,8,0,0,0,1
1,92,73,87,9,0,0,0,1
0,95,76,71,8,0,1,1,1
0,84,81,82,9,0,0,0,1
0,92,74,78,9,0,0,1,1
0,88,64,73,8,0,0,0,1
0,73,60,72,8,0,0,1,1
0,86,73,85,9,0,0,0,1
0,75,58,85,9,0,0,0,1
1,91,73,86,9,0,0,0,1
0,74,50,78,9,0,1,0,1
0,77,65,78,9,0,0,0,1
0,86,73,90,9,0,0,0,1
0,87,73,83,9,0,0,0,0
0,88,68,78,9,0,0,0,1
1,80,73,78,9,0,0,0,1
1,86,73,85,9,0,0,0,1
0,81,73,98,10,0,0,0,1
0,93,73,85,9,0,0,0,1
0,68,53,78,9,0,0,0,1
0,92,73,78,9,0,0,0,1
0,89,73,78,9,0,0,0,1
0,92,73,84,9,0,0,0,0
1,87,73,83,9,0,0,0,1
0,94,73,68,8,0,0,0,1
0,93,73,90,9,0,0,0,1
1,88,73,78,9,0,0,0,1
1,92,73,86,9,0,0,0,1
0,73,73,86,9,0,0,0,0
0,83,73,68,8,0,0,0,1
0,84,73,78,9,0,0,0,1
1,92,73,88,9,0,0,0,1
1,84,73,81,9,0,0,0,1
1,96,73,96,10,0,0,0,1
0,78,59,91,10,0,0,0,1
0,92,67,78,9,0,0,0,1
0,81,73,78,9,0,0,0,1
0,92,73,87,9,0,0,0,1
1,91,73,82,9,0,0,0,1
0,88,73,86,9,0,0,0,1
0,82,73,83,9,0,0,0,1
0,85,73,82,9,0,0,0,1
1,91,89,99,10,0,0,0,1
0,89,73,83,9,0,0,0,1
1,73,73,84,9,0,0,0,1
1,93,84,87,10,0,0,0,1
1,67,64,68,8,0,0,2,1
1,95,91,83,9,0,0,0,1
1,83,73,83,9,0,0,0,1
1,95,84,81,9,0,0,0,1
1,86,86,90,10,0,0,0,1
1,95,90,99,10,0,0,0,1
1,82,63,81,9,0,0,0,1
1,76,70,82,9,0,0,0,1
1,96,94,91,10,0,0,0,1
1,85,88,92,10,0,1,0,1
1,91,73,76,8,0,0,0,1
1,91,68,83,9,0,0,0,0
1,91,66,80,9,0,1,0,1
0,91,68,71,8,0,0,0,1
1,95,83,88,9,0,0,0,1
1,92,74,90,10,0,0,0,1
1,83,89,81,9,0,0,0,1
1,87,82,90,9,0,0,0,1
1,93,74,62,7,0,0,0,1
1,95,86,88,9,0,0,0,1
1,94,89,90,9,0,0,0,1
1,90,91,91,10,0,0,0,1
1,94,79,88,9,0,0,0,1
1,92,73,82,9,0,0,0,1
1,88,74,73,9,0,0,0,1
1,95,84,88,10,0,0,0,1
1,89,83,86,9,0,0,0,1
0,84,81,68,7,0,0,0,1
1,93,85,89,10,0,0,0,1
1,94,86,60,7,0,0,0,1
1,89,79,82,9,0,0,0,1
1,87,79,80,9,0,0,0,1
1,82,63,73,8,0,0,0,1
1,95,84,77,8,0,0,0,1
0,91,72,81,8,0,1,0,1
1,92,79,70,8,0,0,0,1
1,75,73,78,9,0,0,0,1
1,83,69,80,9,0,0,0,1
1,85,79,84,9,0,0,0,1
1,85,74,82,9,0,0,0,1
1,95,80,85,9,0,0,0,1
1,83,73,85,9,0,0,0,1
1,91,86,90,10,0,0,0,1
1,93,85,85,10,0,0,0,1
1,94,87,95,10,0,0,0,1
1,79,65,73,9,0,0,0,1
1,85,72,91,10,0,0,0,1
1,88,79,93,10,0,0,0,1
1,88,73,86,9,0,0,0,1
1,92,69,70,8,0,0,0,1
0,76,75,91,10,0,0,0,1
1,86,80,84,9,0,0,0,1
1,94,89,94,10,0,0,0,1
1,81,73,83,9,0,0,0,1
0,83,71,68,8,0,0,0,1
1,91,72,82,9,0,0,0,1
1,95,73,90,10,0,0,0,1
1,93,86,94,10,0,0,0,1
1,94,72,87,9,0,0,0,1
1,94,83,91,10,0,0,0,1
1,89,60,73,8,0,0,0,1
1,94,82,86,9,0,0,0,1
1,94,87,87,9,0,0,0,1
1,96,93,96,10,0,0,0,1
1,84,73,81,9,0,0,0,1
1,78,73,80,9,0,0,0,1
1,91,79,85,9,0,0,0,1
1,88,73,83,9,0,0,0,1
1,92,73,86,9,0,0,0,1
1,92,77,81,9,0,0,0,1
1,89,73,86,9,0,0,0,1
0,66,55,65,9,0,0,2,1
1,87,73,87,9,0,0,0,1
1,89,81,74,8,0,0,0,1
1,85,70,80,9,0,0,0,1
1,81,54,72,8,0,0,1,1
0,83,67,70,8,0,1,1,1
1,92,86,88,10,0,0,0,1
1,86,70,81,9,0,0,0,1
0,80,62,64,8,0,0,0,1
1,92,75,89,9,0,0,0,1
1,94,77,77,8,0,0,0,1
1,96,95,84,10,0,0,0,1
1,85,69,65,7,0,0,0,1
1,96,84,86,9,0,0,0,1
1,78,64,66,7,0,0,1,1
1,86,66,66,8,0,0,0,1
1,86,71,71,8,0,0,0,1
0,69,62,65,7,0,0,0,1
1,92,65,74,8,0,0,0,1
1,86,73,90,9,0,0,0,1
1,95,90,75,8,0,0,0,1
0,95,83,78,9,0,1,0,1
1,88,78,80,9,0,0,0,1
1,86,70,71,8,0,0,1,1
0,86,73,78,9,0,0,0,1
1,65,65,77,8,0,0,0,1
1,93,80,90,9,0,0,0,1
1,88,68,69,7,0,0,0,1
1,90,74,80,9,0,0,0,1
1,92,75,83,9,0,0,0,1
1,67,57,63,7,0,0,1,1
1,89,89,85,9,0,0,0,1
1,89,73,86,9,0,0,0,1
1,93,88,88,10,0,0,0,1
1,63,63,75,8,0,0,0,1
1,83,78,85,9,0,0,0,1
1,82,73,74,8,0,0,0,1
1,92,62,80,9,0,0,0,1
1,92,81,86,9,0,0,0,1
1,75,72,75,8,0,0,0,1
1,95,84,87,9,0,0,0,1
1,62,58,67,9,0,0,0,1
1,95,84,86,9,0,0,0,1
1,78,63,69,8,0,0,1,1
1,89,85,87,9,0,0,0,1
1,82,77,79,10,0,0,0,1
1,88,77,78,9,0,0,0,0
1,86,77,85,9,0,1,0,1
1,92,70,75,8,0,0,0,1
1,86,85,84,9,0,0,0,1
1,85,72,80,9,0,1,0,1
1,88,73,82,9,0,0,0,1
1,90,62,75,8,0,0,0,1
1,90,73,70,8,0,0,0,1
1,78,62,75,8,0,0,0,1
1,80,77,78,9,0,0,0,1
1,87,75,81,9,0,0,0,1
0,95,80,74,9,1,1,0,1
1,95,76,88,9,0,0,0,1
0,73,63,66,7,0,0,0,1
1,75,64,77,8,0,0,0,1
1,81,65,92,10,0,0,0,1
1,64,61,72,8,0,0,0,1
1,87,78,77,8,0,0,0,1
1,93,83,88,9,0,0,0,1
1,84,63,78,8,0,1,0,1
1,83,64,77,8,0,0,1,1
1,89,63,76,8,0,0,0,1
1,87,66,80,9,0,0,0,1
1,62,65,66,7,0,1,1,1
1,88,82,79,9,0,0,0,1
1,95,83,89,10,0,0,0,1
1,86,70,78,9,0,1,0,1
1,84,72,85,9,0,0,0,1
0,95,81,75,8,0,0,0,1
1,92,75,76,8,0,0,0,1
1,63,70,67,7,0,0,1,1
1,75,73,75,8,0,0,0,1
0,80,67,78,9,0,0,0,1
0,80,59,70,8,0,0,0,1
1,93,80,82,9,0,0,0,1
1,71,65,72,8,0,0,0,1
1,95,79,79,9,0,0,0,1
1,86,81,80,8,0,0,0,1
1,74,72,74,8,0,0,0,1
1,90,80,83,9,0,0,0,1
0,91,63,64,8,0,0,0,1
1,85,73,79,9,0,0,0,1
1,82,75,70,8,0,0,0,1
1,86,73,80,8,0,0,0,1
1,82,73,85,9,0,0,0,1
1,92,80,94,10,0,0,0,1
1,69,60,70,8,0,0,1,1
0,92,67,72,8,0,0,0,1
1,90,79,92,10,0,0,0,1
0,86,60,71,8,0,1,1,1
1,90,89,83,9,0,0,0,1
1,79,73,82,9,0,0,0,1
1,98,91,98,10,0,0,0,1
1,95,84,92,10,0,0,0,1
1,94,87,78,8,0,0,0,1
1,71,60,77,8,0,0,0,1
1,87,64,77,8,0,1,0,1
1,87,77,84,9,0,1,0,1
0,92,64,64,9,0,0,0,1
1,83,69,82,9,0,0,0,1
1,93,80,82,9,0,1,0,1
1,92,74,85,9,0,0,0,1
0,63,66,62,7,0,0,0,1
1,88,66,70,8,0,0,1,1
1,84,69,77,8,0,0,0,1
1,92,70,81,9,0,0,0,1
1,94,81,77,9,0,0,0,1
1,92,72,85,9,0,0,0,1
1,81,71,79,8,0,0,0,1
1,74,73,82,9,0,0,0,1
1,84,74,85,9,0,1,0,1
1,85,86,74,8,0,1,0,1
0,72,67,71,8,0,0,0,1
1,86,73,89,9,0,0,0,1
1,95,85,81,9,0,0,0,1
1,85,84,82,9,0,0,0,1
1,89,71,81,9,0,0,0,1
1,87,73,85,9,0,0,0,1
0,87,68,59,8,0,0,0,1
1,92,81,88,9,0,0,0,1
1,84,73,85,9,0,0,0,1
1,92,76,84,10,0,0,0,1
1,90,72,79,9,0,0,0,1
1,91,60,75,8,0,0,0,1
1,83,73,77,8,0,0,0,1
1,90,70,82,9,0,0,0,1
1,82,64,82,9,0,0,0,1
1,94,73,82,9,0,1,0,1
1,94,79,86,9,0,0,0,1
1,90,73,81,9,0,0,0,1
1,83,58,58,7,0,0,0,1
1,76,67,82,9,0,0,0,1
1,94,82,63,7,0,0,0,1
1,81,73,81,9,0,0,0,1
1,94,83,86,9,0,0,0,1
1,86,81,87,9,0,0,0,1
0,66,90,81,8,0,1,0,1
0,80,63,64,7,0,0,1,1
1,86,65,79,9,0,0,0,1
1,77,73,83,9,0,0,0,1
1,80,60,75,8,0,0,0,1
0,94,73,87,9,0,0,0,1
1,75,74,74,8,0,1,0,1
1,89,89,88,10,0,0,0,1
1,84,73,75,8,0,0,0,1
1,87,70,77,9,0,0,0,1
1,91,76,83,9,0,0,0,1
1,91,80,81,9,0,0,0,1
1,86,73,76,9,0,1,0,1
1,88,72,80,8,0,0,0,1
1,88,73,77,9,0,0,0,1
1,81,81,83,9,0,0,0,1
1,88,73,79,9,0,0,0,1
1,79,73,72,8,0,0,0,1
1,85,74,83,9,0,0,0,1
1,94,78,79,9,0,0,0,1
1,87,88,87,9,0,0,0,1
1,93,80,83,9,0,0,0,1
1,91,69,79,9,5,0,0,1
1,83,76,83,9,0,0,0,1
